listing_id,price_eur,area_sqm,bedrooms,location,description,facts_reviewer,media_reviewer,review_notes,editor_path,review_status,issues,required_editor_fields,public_gallery_assets,public_gallery_sample,missing_alt_text_assets
MS-CRAWL-0013,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0013,needs_facts_review,missing_area,area_sqm,7,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Къща за продажба в с. Хотово – имот с парцел и отличен потенциал]|https://makler-realty.com/wp-content/uploads/2024/10/1729152754532-680x510.jpg [alt: Къща за продажба в с. Хотово – имот с парцел и отличен потенциал]|https://makler-realty.com/wp-content/uploads/2024/10/1729152754532-72x72.jpg [alt: продава къща в с.Хотово],0
MS-CRAWL-0014,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0014,needs_facts_review,missing_area,area_sqm,6,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Наем – Двустаен апартамент в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2024/10/876-1-680x510.jpg [alt: Наем – Двустаен апартамент в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2024/10/876-1-72x72.jpg [alt: Наем – Двустаен апартамент в гр.Сандански],0
MS-CRAWL-0015,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0015,needs_facts_review,missing_area,area_sqm,22,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Нова къща под наем в с.Микрево]|https://makler-realty.com/wp-content/uploads/2026/04/942-1-680x510.jpg [alt: Нова къща под наем в с.Микрево]|https://makler-realty.com/wp-content/uploads/2026/04/942-1-72x72.jpg [alt: Нова къща под наем в с.Микрево],0
MS-CRAWL-0016,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0016,needs_facts_review,missing_area,area_sqm,21,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Новостроящи се къщи в с.Джигурово]|https://makler-realty.com/wp-content/uploads/2021/07/803-680x381.jpg [alt: Новостроящи се къщи в с.Джигурово]|https://makler-realty.com/wp-content/uploads/2021/07/803-1-72x72.jpg [alt: продава нови къщи в с.Джигурово],0
MS-CRAWL-0017,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0017,needs_facts_review,missing_area,area_sqm,12,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Нов двустаен апартамент в гр.Сандански – продажба]|https://makler-realty.com/wp-content/uploads/2026/02/ChatGPT-Image-20.05.2026-г.-09_39_24-680x383.png [alt: Нов двустаен апартамент в гр.Сандански – продажба]|https://makler-realty.com/wp-content/uploads/2026/02/938-1-72x72.jpg [alt: продава двустаен апартамент в Сандански],0
MS-CRAWL-0018,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0018,needs_facts_review,missing_area,area_sqm,29,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Оборудвана оранжерия в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2024/12/814-2-680x383.jpeg [alt: Оборудвана оранжерия в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2024/12/814-72x72.jpeg [alt: Оборудвана оранжерия в гр.Сандански],0
MS-CRAWL-0019,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0019,needs_facts_review,missing_area,area_sqm,14,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Офиси/магазини под наем в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2024/12/812-2-680x510.jpg [alt: Офиси/магазини под наем в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2024/12/812-1-72x72.jpg [alt: Офиси/магазини под наем в гр.Сандански],0
MS-CRAWL-0020,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0020,needs_facts_review,missing_area,area_sqm,4,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Офис под наем в центъра на гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/02/890-2-680x510.jpeg [alt: Офис под наем в центъра на гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/02/890-1-72x72.jpeg [alt: Офис под наем в центъра на гр.Сандански],0
MS-CRAWL-0021,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0021,needs_facts_review,missing_area,area_sqm,27,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Панорамен двустаен апартамент с гараж – паркова зона]|https://makler-realty.com/wp-content/uploads/2026/05/944-1-510x680.jpg [alt: Панорамен двустаен апартамент с гараж – паркова зона]|https://makler-realty.com/wp-content/uploads/2026/05/944-1-72x72.jpg [alt: Панорамен двустаен апартамент с гараж – паркова зона],0
MS-CRAWL-0022,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0022,needs_facts_review,missing_area,area_sqm,14,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Дава под наем производствено помещение в Сандански]|https://makler-realty.com/wp-content/uploads/2020/05/756-8-680x510.jpg [alt: Дава под наем производствено помещение в Сандански]|https://makler-realty.com/wp-content/uploads/2020/05/756-1-72x72.jpg [alt: Дава под наем производствено помещение в Сандански],0
MS-CRAWL-0023,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0023,needs_facts_review,missing_area,area_sqm,14,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Прекрасна къща в близост до СПА курорт Сандански]|https://makler-realty.com/wp-content/uploads/2025/04/833-new-6-1-680x510.jpg [alt: Прекрасна къща в близост до СПА курорт Сандански]|https://makler-realty.com/wp-content/uploads/2025/04/833-new-6-1-72x72.jpg [alt: продава къща около сандански],0
MS-CRAWL-0024,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0024,needs_facts_review,missing_area,area_sqm,11,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава апартамент в Солун]|https://makler-realty.com/wp-content/uploads/2024/01/101-1-510x680.jpg [alt: Продава апартамент в Солун]|https://makler-realty.com/wp-content/uploads/2024/01/101-7-72x72.jpg [alt: Продава апартамент в Солун],0
MS-CRAWL-0025,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0025,needs_facts_review,missing_area,area_sqm,20,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава вила в Пирин планина]|https://makler-realty.com/wp-content/uploads/2017/07/637-2.jpg [alt: Продава вила в Пирин планина]|https://makler-realty.com/wp-content/uploads/2017/07/637-1-72x72.jpg [alt: Продава вила в Пирин планина],0
MS-CRAWL-0026,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0026,needs_facts_review,missing_area,area_sqm,14,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава голяма къща в близост до гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/06/890-3-680x510.jpg [alt: Продава голяма къща в близост до гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/06/890-3-72x72.jpg [alt: Продава голяма къща в близост до гр.Сандански],0
MS-CRAWL-0027,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0027,needs_facts_review,missing_area,area_sqm,7,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава двустаен апартамент в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/09/911-1-680x514.jpg [alt: Продава двустаен апартамент в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/09/911-2-72x72.jpg [alt: продажба на апартаменти в гр.Сандански],0
MS-CRAWL-0028,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0028,needs_facts_review,missing_area,area_sqm,14,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава двустаен апартамент в центъра на гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/10/10621480_144682647_big-510x680.jpg [alt: Продава двустаен апартамент в центъра на гр.Сандански]|https://makler-realty.com/wp-content/uploads/2025/08/903-6-1-72x72.jpg [alt: Продава двустаен апартамент в центъра на гр.Сандански],0
MS-CRAWL-0029,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0029,needs_facts_review,missing_area,area_sqm,8,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава едностаен апартамент/студио в центъра на Сандански]|https://makler-realty.com/wp-content/uploads/2025/08/903-2-1-680x510.jpg [alt: Продава едностаен апартамент/студио в центъра на Сандански]|https://makler-realty.com/wp-content/uploads/2025/08/903-1-1-72x72.jpg [alt: Продава едностаен апартамент/студио в центъра на Сандански],0
MS-CRAWL-0030,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0030,needs_facts_review,missing_area,area_sqm,9,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава едностаен апартамент]|https://makler-realty.com/wp-content/uploads/2026/04/943-1-680x510.jpg [alt: Продава едностаен апартамент]|https://makler-realty.com/wp-content/uploads/2026/04/943-1-72x72.jpg [alt: Продава едностаен апартамент],0
MS-CRAWL-0031,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0031,needs_facts_review,missing_area,area_sqm,12,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава етаж от къща в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2026/03/940-1-680x383.jpg [alt: Продава етаж от къща в гр.Сандански]|https://makler-realty.com/wp-content/uploads/2026/03/940-10-72x72.jpg [alt: Продава етаж от къща в гр.Сандански],0
MS-CRAWL-0032,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0032,needs_facts_review,missing_area,area_sqm,6,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава етаж от къща в Сандански]|https://makler-realty.com/wp-content/uploads/2025/11/932-1-680x510.jpg [alt: Продава етаж от къща в Сандански]|https://makler-realty.com/wp-content/uploads/2025/11/932-1-72x72.jpg [alt: продава етаж от къща в Сандански],0
MS-CRAWL-0033,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0033,needs_facts_review,missing_area,area_sqm,13,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава етаж от къща в с.Поленица]|https://makler-realty.com/wp-content/uploads/2023/09/856-6-680x510.jpeg [alt: Продава етаж от къща в с.Поленица]|https://makler-realty.com/wp-content/uploads/2023/09/856-6-72x72.jpeg [alt: Продава етаж от къща в с.Поленица],0
MS-CRAWL-0034,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0034,needs_facts_review,missing_area,area_sqm,8,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава етаж от къща в широкия център на гр.Сандански]|https://makler-realty.com/wp-content/uploads/2024/09/963-3-680x510.jpeg [alt: Продава етаж от къща в широкия център на гр.Сандански]|https://makler-realty.com/wp-content/uploads/2024/09/963-5-72x72.jpeg [alt: Продава етаж от къща в широкия център на гр.Сандански],0
MS-CRAWL-0035,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0035,needs_facts_review,missing_area,area_sqm,13,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава етаж от къща с парцел в с.Левуново]|https://makler-realty.com/wp-content/uploads/2020/09/774-1-1-680x510.jpg [alt: Продава етаж от къща с парцел в с.Левуново]|https://makler-realty.com/wp-content/uploads/2020/09/774-1-1-72x72.jpg [alt: Продава етаж от къща с парцел в с.Левуново],0
MS-CRAWL-0036,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0036,needs_facts_review,missing_area,area_sqm,5,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава земеделска земя – с.Джигурово]|https://makler-realty.com/wp-content/uploads/2025/06/897-1-680x510.jpg [alt: Продава земеделска земя – с.Джигурово]|https://makler-realty.com/wp-content/uploads/2025/06/897-72x72.jpg [alt: Продава земеделска земя – с.Джигурово],0
MS-CRAWL-0037,,,,,,,,,/admin/listings/edit?listingId=MS-CRAWL-0037,needs_facts_review,missing_area,area_sqm,11,https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg [alt: Продава земя на Е79 в Сандански]|https://makler-realty.com/wp-content/uploads/2019/08/719-1-680x510.jpg [alt: Продава земя на Е79 в Сандански]|https://makler-realty.com/wp-content/uploads/2019/08/719-1-72x72.jpg [alt: продава имот на е79 Сандански],0
