source_domain,page_url,page_type,image_url,alt,width,height
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2026/06/960-v-680x456.jpg&h=191&w=263&zc=1,"Продава се вила в с. Игралище, община Струмяни",,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2026/06/959-2-680x510.jpg&h=191&w=263&zc=1,Светъл южен апартамент до парка на гр. Сандански,,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2024/10/1729152754532-680x510.jpg&h=191&w=263&zc=1,Къща за продажба в с. Хотово – имот с парцел и отличен потенциал,,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2026/06/957-1-680x510.jpg&h=191&w=263&zc=1,Двустаен апартамент под наем в парка на Сандански,,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2017/07/637-2.jpg&h=191&w=263&zc=1,Продава вила в Пирин планина,,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2026/06/955-9-680x510.jpg&h=191&w=263&zc=1,Тристаен апартамент под наем в с.Поленица,,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2026/06/954-1-680x510.jpg&h=191&w=263&zc=1,Продава парцел в с.Хотово,,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2026/05/944-1-510x680.jpg&h=191&w=263&zc=1,Панорамен двустаен апартамент с гараж – паркова зона,,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2026/04/943-1-680x510.jpg&h=191&w=263&zc=1,Продава едностаен апартамент,,
makler-realty.com,https://makler-realty.com/,page,https://makler-realty.com/wp-content/themes/Avenue/timthumb.php?src=https://makler-realty.com/wp-content/uploads/2025/04/DJI_0696-680x383.jpg&h=45&w=45&zc=1,,45,45
