old_url,source_domain,url_type,source_h1,decision,target_path,reason,reviewer,approved_at
https://makler-realty.com/category-type/%d1%83%d1%87%d0%b0%d1%81%d1%82%d0%be%d0%ba-%d0%b7%d0%b5%d0%bc%d0%bb%d0%b8/,makler-realty.com,taxonomy,Парцел,301,/bg/tarsene?property_family=plot,property type archive,,
https://makler-realty.com/category-type/apartment/,makler-realty.com,taxonomy,Апартамент,301,/bg/tarsene?property_family=apartment,property type archive,,
https://makler-realty.com/category-type/commercial-area/,makler-realty.com,taxonomy,Търговска площ,301,/bg/tarsene?property_family=commercial,property type archive,,
https://makler-realty.com/category-type/dom/,makler-realty.com,taxonomy,Къща,301,/bg/tarsene?property_family=house,property type archive,,
https://makler-realty.com/category-type/hotel/,makler-realty.com,taxonomy,Хотел,301,/bg/tarsene?property_family=hotel,property type archive,,
https://makler-realty.com/category-type/house-floor/,makler-realty.com,taxonomy,Етаж от къща,301,/bg/tarsene?property_family=house,property type archive,,
https://makler-realty.com/category-type/industrial-building/,makler-realty.com,taxonomy,Индустриална сграда,301,/bg/tarsene?property_family=commercial,property type archive,,
https://makler-realty.com/category-type/office-building/,makler-realty.com,taxonomy,Офис сграда,301,/bg/tarsene?property_family=commercial,property type archive,,
https://makler-realty.com/category-type/office/,makler-realty.com,taxonomy,Офис,301,/bg/tarsene?property_family=commercial,property type archive,,
https://makler-realty.com/category-type/studio/,makler-realty.com,taxonomy,Едностаен апартамент,301,/bg/tarsene?property_family=apartment,property type archive,,
https://makler-realty.com/category-type/villa/,makler-realty.com,taxonomy,Вила,301,/bg/tarsene?property_family=house,property type archive,,
https://makler-realty.com/category/%d0%bd%d0%be%d0%b2%d0%b8%d0%bd%d0%b8/,makler-realty.com,taxonomy,,410,,category archive has no indexable equivalent,,
https://makler-realty.com/category/%d1%81%d1%82%d0%b0%d1%82%d0%b8%d0%b8/,makler-realty.com,taxonomy,Not Found,410,,category archive has no indexable equivalent,,
https://makler-realty.com/category/category/,makler-realty.com,taxonomy,Not Found,410,,category archive has no indexable equivalent,,
https://makler-realty.com/category/uncategorized/,makler-realty.com,taxonomy,Not Found,410,,category archive has no indexable equivalent,,
https://makler-realty.com/de,makler-realty.com,page,Immobilien in Bulgaria,410,,no localized route for this URL,,
https://makler-realty.com/de/,makler-realty.com,page,Immobilien in Bulgaria,410,,no localized route for this URL,,
https://makler-realty.com/de/%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0-%D0%B7%D0%B0-%D0%B7%D0%B0%D1%89%D0%B8%D1%82%D0%B0-%D0%BD%D0%B0-%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D1%82%D0%B5-%D0%B4%D0%B0%D0%BD%D0%BD%D0%B8/,makler-realty.com,page,Datenschutz-Bestimmungen,410,,no localized route for this URL,,
https://makler-realty.com/de/%d0%b3%d0%bb%d0%b0%d0%b2%d0%bd%d0%b0%d1%8f/,makler-realty.com,page,Immobilien in Bulgaria,410,,no localized route for this URL,,
https://makler-realty.com/de/%d0%ba%d0%be%d0%bd%d1%82%d0%b0%d0%ba%d1%82%d0%b8/,makler-realty.com,page,Kontakt / Impressum,410,,no localized route for this URL,,
https://makler-realty.com/de/%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d1%81%d0%be%d0%bb%d0%bd%d0%b5%d1%87%d0%bd%d1%8b%d0%b9-%d0%b1%d0%b5%d1%80%d0%b5%d0%b3/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/de/%d0%be%d1%84%d0%be%d1%80%d0%bc%d0%bb%d0%b5%d0%bd%d0%b8%d0%b5-%d1%81%d0%b4%d0%b5%d0%bb%d0%ba%d0%b8-%d0%bd%d0%b5%d0%b4%d0%b2%d0%b8%d0%b6%d0%b8%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%b1%d0%be%d0%bb%d0%b3/,makler-realty.com,page,WIE KAUFEN,410,,no localized route for this URL,,
https://makler-realty.com/de/%d0%be-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8/,makler-realty.com,page,Über uns,410,,no localized route for this URL,,
https://makler-realty.com/de/%d0%bf%d0%b0%d1%80%d1%82%d0%bd%d1%8c%d0%be%d1%80%d0%b8/,makler-realty.com,page,Partners,410,,no localized route for this URL,,
https://makler-realty.com/de/%d1%82%d0%b0%d0%ba%d1%81%d0%b8-%d0%b8%d0%b7-%d1%81%d0%be%d1%84%d0%b8%d0%b8-%d0%b2-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/de/%d1%82%d1%80%d0%b0%d0%bd%d1%81%d1%84%d0%b5%d1%80-%d1%81%d0%b0%d0%bb%d0%be%d0%bd%d0%b8%d0%ba%d0%b8-%d1%81%d0%b0%d0%bd%d0%b4%d0%b0%d0%bd%d1%81%d0%ba%d0%b8/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/de/bulgarien-leben-im-kurort-sandanski/,makler-realty.com,page,,410,,no localized route for this URL,,
https://makler-realty.com/de/category-type/%d0%b5lite-realtor/,makler-realty.com,taxonomy,Luxus Immobilien,410,,no canonical family for category-type/еlite-realtor,,
https://makler-realty.com/de/category-type/%d1%81%d0%b5%d0%bb%d1%8c%d1%81%d0%ba%d0%be%d1%85%d0%be%d0%b7%d1%8f%d0%b9%d1%81%d1%82%d0%b2%d0%b5%d0%bd%d0%bd%d0%b0%d1%8f-%d0%b7%d0%b5%d0%bc%d0%bb%d1%8f/,makler-realty.com,taxonomy,Landwirtschaftliche Flächen,301,/de/suche?property_family=agricultural_land,property type archive,,
https://makler-realty.com/de/category-type/%d1%83%d1%87%d0%b0%d1%81%d1%82%d0%be%d0%ba-%d0%b7%d0%b5%d0%bc%d0%bb%d0%b8/,makler-realty.com,taxonomy,Grundstücke,301,/de/suche?property_family=plot,property type archive,,
https://makler-realty.com/de/category-type/apartment/,makler-realty.com,taxonomy,Wohnungen,301,/de/suche?property_family=apartment,property type archive,,
https://makler-realty.com/de/category-type/commercial-area/,makler-realty.com,taxonomy,Gewerbeflächen,301,/de/suche?property_family=commercial,property type archive,,
https://makler-realty.com/de/category-type/dom/,makler-realty.com,taxonomy,Haus,301,/de/suche?property_family=house,property type archive,,
https://makler-realty.com/de/category-type/hotel/,makler-realty.com,taxonomy,Hotel,301,/de/suche?property_family=hotel,property type archive,,
https://makler-realty.com/de/category-type/house-floor/,makler-realty.com,taxonomy,Haus Etage,301,/de/suche?property_family=house,property type archive,,
